term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
erwerb,12,0.0019,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0214,0.0004,0.0002,0.0001,0.0011
form,12,0.0002,0.0004,0.0304,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0003,0.0001,0.0007,0.0101,0.0001,0.0011
individuell,12,0.0035,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0373,0.01,0.0004,0.0002,0.0003,0.0011
literatur,12,0.0002,0.0004,0.0005,0.0312,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
regional,12,0.0002,0.0004,0.0005,0.0312,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
sozialkompetenz,12,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0281,0.0011
system,12,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0273,0.0005,0.011,0.0001,0.0004,0.0002,0.0001,0.0011
systematisch,12,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0195,0.0004,0.0085,0.0001,0.0011
verstehen,12,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0045,0.0007,0.0105,0.0001,0.0001,0.0332,0.0002,0.0002,0.0011
ausgewählt,11,0.0009,0.0004,0.0005,0.0001,0.0114,0.0001,0.0042,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0007,0.0665
bevölkerungsgruppe,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
bieten,11,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0437,0.0001,0.0004,0.0002,0.001,0.0011
differenz,11,0.0176,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0002,0.0011
einbettung,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
engagement,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
eth,11,0.0002,0.0004,0.0005,0.0001,0.0004,0.068,0.0004,0.0008,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0012
individualität,11,0.0002,0.0004,0.0005,0.0001,0.0004,0.0678,0.0004,0.0007,0.0005,0.0002,0.0001,0.0004,0.0002,0.0001,0.0011
konzept,11,0.0182,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0012
physiologisch,11,0.0063,0.0004,0.0005,0.0001,0.0268,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
stress,11,0.0048,0.0004,0.0005,0.0001,0.0223,0.0001,0.0004,0.0144,0.0005,0.0001,0.0001,0.0004,0.0006,0.0001,0.0011
tourismusland,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
typisch,11,0.0002,0.0403,0.0005,0.0001,0.0004,0.0001,0.0004,0.0008,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
unterrichtsinhalten,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
vielfalt,11,0.0002,0.0177,0.0005,0.0001,0.0048,0.0336,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0012
vielzahl,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
welt,11,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0051,0.0007,0.0005,0.0001,0.0001,0.0372,0.0002,0.0001,0.0011
zusammenhalt,11,0.0002,0.0004,0.0005,0.0303,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
gemeinsamkeit,10,0.0159,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0002,0.0012
handlungsgrundsätz,10,0.0159,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0002,0.0011
inhaltsbezogen,10,0.0002,0.0004,0.0005,0.0001,0.0073,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0294,0.0002,0.0003,0.0011
liebe,10,0.0002,0.0004,0.0005,0.0001,0.0097,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0259,0.0002,0.0005,0.0012
motiv,10,0.0002,0.0344,0.0005,0.0001,0.0005,0.0001,0.0004,0.0007,0.0006,0.0009,0.0001,0.0004,0.0002,0.0001,0.0011
naturwissenschaftlich,10,0.0009,0.0004,0.0005,0.0001,0.0004,0.0001,0.0415,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0002,0.0011
nennen,10,0.0002,0.0004,0.0005,0.0001,0.0004,0.0345,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0081,0.0001,0.0011
nutzen,10,0.0002,0.0004,0.0005,0.0001,0.0184,0.0001,0.0004,0.0007,0.0005,0.0008,0.0027,0.0004,0.0008,0.0001,0.0011
spielen,10,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0413,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0012
wert,10,0.0126,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0332,0.0001,0.0004,0.0002,0.0003,0.0011
wissenschaftlich,10,0.0019,0.0004,0.0095,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0263,0.0002,0.0001,0.0011
zugang,10,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0134,0.0001,0.0004,0.0002,0.0001,0.0012
diskussion,9,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0172,0.009,0.0001,0.0011
erfahrung,9,0.0002,0.0004,0.0005,0.0001,0.0108,0.0001,0.0004,0.0007,0.0005,0.023,0.0001,0.0004,0.0002,0.0001,0.0011
faktor,9,0.0002,0.0004,0.0005,0.0001,0.0004,0.0044,0.0004,0.0084,0.0005,0.0001,0.0001,0.0004,0.0061,0.0001,0.0011
konsequenz,9,0.0002,0.0004,0.0005,0.0001,0.0038,0.0001,0.0251,0.0007,0.0005,0.0001,0.0001,0.0081,0.0002,0.0001,0.0012
leben,9,0.005,0.0004,0.0005,0.0001,0.0004,0.0024,0.0004,0.0007,0.0005,0.0034,0.0001,0.0004,0.0016,0.0001,0.0012
moralisch,9,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0019,0.0001,0.0004,0.0002,0.0003,0.0807
vermitteln,9,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0008,0.0005,0.0001,0.0201,0.0004,0.0002,0.0001,0.0011
