term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
verhalten,137,0.019,0.0,0.0359,0.0001,0.0,0.0157,0.0,0.0001,0.0,0.0,0.0001,0.0048
funktion,137,0.0,0.0,0.0001,0.0001,0.0274,0.0002,0.0213,0.0022,0.0,0.0,0.0001,0.0059
merkmal,134,0.0303,0.0,0.0001,0.0001,0.0044,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
variabilität,132,0.0005,0.008,0.0001,0.0001,0.0049,0.0002,0.0,0.0,0.0137,0.0,0.0001,0.0072
information,129,0.0,0.0279,0.0001,0.0001,0.0265,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0001
biologie,127,0.0051,0.0,0.0001,0.0001,0.0029,0.0002,0.039,0.0,0.0014,0.0036,0.0001,0.0013
genetik,127,0.003,0.0,0.0001,0.0001,0.0,0.0002,0.0268,0.0119,0.0029,0.0,0.0001,0.0034
individuelle,126,0.0,0.0174,0.0001,0.0001,0.0107,0.0002,0.0,0.0269,0.0,0.0,0.0001,0.0005
grundlegend,126,0.007,0.0001,0.0001,0.0084,0.0,0.0002,0.0014,0.0278,0.0046,0.0,0.0001,0.002
fortpflanzung,121,0.0,0.0314,0.0001,0.0001,0.0,0.0002,0.0025,0.0,0.0,0.0,0.0001,0.0057
verändern,120,0.0007,0.0309,0.0001,0.0001,0.0,0.0002,0.0012,0.0,0.0009,0.0026,0.0001,0.0043
synthetisch,118,0.0069,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0184,0.0,0.0001,0.0
fossil,114,0.0,0.0,0.0053,0.0001,0.0,0.0002,0.0,0.0,0.023,0.0,0.0001,0.0
vielfalt,112,0.0015,0.0,0.0001,0.0001,0.0091,0.0002,0.0021,0.0,0.0019,0.0026,0.0001,0.0123
prinzip,110,0.0058,0.0225,0.0001,0.0001,0.0,0.0002,0.0076,0.0,0.0,0.0,0.0001,0.0005
entwickeln,107,0.0,0.0004,0.0001,0.0001,0.0156,0.0002,0.0,0.0056,0.0022,0.0,0.0001,0.0098
kulturell,104,0.0059,0.0,0.0001,0.0476,0.0,0.0002,0.0,0.0,0.004,0.0,0.0001,0.0028
ursache,103,0.0088,0.0086,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0012,0.0211,0.004
mutation,103,0.002,0.0009,0.0001,0.0001,0.0002,0.0002,0.0,0.0,0.0175,0.0,0.0001,0.0025
umwelt,100,0.0,0.0,0.0001,0.0001,0.0072,0.0002,0.0011,0.0027,0.0023,0.0,0.0001,0.0103
ökologisch,97,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0324,0.0,0.0,0.0001,0.0044
unterschiedlich,96,0.0102,0.0015,0.0001,0.0001,0.0,0.0002,0.0,0.0037,0.0,0.0021,0.0013,0.0056
prozeß,96,0.0,0.001,0.0001,0.0001,0.0,0.0002,0.0,0.0075,0.0022,0.0,0.0116,0.0085
